Fortified,Drywhite,Sweetwhite,Red,Rose,Sparkling,Total,Month,Year
2585,1954,85,464,112,1686,15136,January,1980
3368,2302,89,675,118,1591,16733,February,1980
3210,3054,109,703,129,2304,20016,March,1980
3111,2414,95,887,99,1712,17708,April,1980
3756,2226,91,1139,116,1471,18019,May,1980
4216,2725,95,1077,168,1377,19227,June,1980
5225,2589,96,1318,118,1966,22893,July,1980
4426,3470,128,1260,129,2453,23739,August,1980
3932,2400,124,1120,205,1984,21133,September,1980
3816,3180,111,963,147,2596,22591,October,1980
3661,4009,178,996,150,4087,26786,November,1980
3795,3924,140,960,267,5179,29740,December,1980
2285,2072,150,530,126,1530,15028,January,1981
2934,2434,132,883,129,1523,17977,February,1981
2985,2956,155,894,124,1633,20008,March,1981
3646,2828,132,1045,97,1976,21354,April,1981
4198,2687,91,1199,102,1170,19498,May,1981
4935,2629,94,1287,127,1480,22125,June,1981
5618,3150,109,1565,222,1781,25817,July,1981
5454,4119,155,1577,214,2472,28779,August,1981
3624,3030,123,1076,118,1981,20960,September,1981
2898,3055,130,918,141,2273,22254,October,1981
3802,3821,150,1008,154,3857,27392,November,1981
2369,4001,163,1063,226,4551,29945,December,1981
2369,2529,101,544,89,1510,16933,January,1982
2511,2472,123,635,77,1329,17892,February,1982
3079,3134,127,804,82,1518,20533,March,1982
3728,2789,112,980,97,1790,23569,April,1982
4151,2758,108,1018,127,1537,22417,May,1982
4326,2993,116,1064,121,1449,22084,June,1982
5054,3282,153,1404,117,1954,26580,July,1982
5138,3437,163,1286,117,1897,27454,August,1982
3310,2804,128,1104,106,1706,24081,September,1982
3508,3076,142,999,112,2514,23451,October,1982
3790,3782,170,996,134,3593,28991,November,1982
3446,3889,214,1015,169,4524,31386,December,1982
2127,2271,134,615,75,1609,16896,January,1983
2523,2452,122,722,108,1638,20045,February,1983
3017,3084,142,832,115,2030,23471,March,1983
3265,2522,156,977,85,1375,21747,April,1983
3822,2769,145,1270,101,1320,25621,May,1983
4027,3438,169,1437,108,1245,23859,June,1983
4420,2839,134,1520,109,1600,25500,July,1983
5255,3746,165,1708,124,2298,30998,August,1983
4009,2632,156,1151,105,2191,24475,September,1983
3074,2851,111,934,95,2511,23145,October,1983
3465,3871,165,1159,135,3440,29701,November,1983
3718,3618,197,1209,164,4923,34365,December,1983
1954,2389,124,699,88,1609,17556,January,1984
2604,2344,124,830,85,1435,22077,February,1984
3626,2678,139,996,112,2061,25702,March,1984
2836,2492,137,1124,87,1789,22214,April,1984
4042,2858,127,1458,91,1567,26886,May,1984
3584,2246,134,1270,87,1404,23191,June,1984
4225,2800,136,1753,87,1597,27831,July,1984
4523,3869,171,2258,142,3159,35406,August,1984
2892,3007,112,1208,95,1759,23195,September,1984
2876,3023,110,1241,108,2504,25110,October,1984
3420,3907,147,1265,139,4273,30009,November,1984
3159,4209,196,1828,159,5274,36242,December,1984
2101,2353,112,809,61,1771,18450,January,1985
2181,2570,118,997,82,1682,21845,February,1985
2724,2903,125,1164,124,1846,26488,March,1985
2954,2910,122,1205,93,1589,22394,April,1985
4092,3782,120,1538,108,1896,28057,May,1985
3470,2759,118,1513,75,1379,25451,June,1985
3990,2931,281,1378,87,1645,24872,July,1985
4239,3641,344,2083,103,2512,33424,August,1985
2855,2794,366,1357,90,1771,24052,September,1985
2897,3070,362,1536,108,3727,28449,October,1985
3433,3576,580,1526,123,4388,33533,November,1985
3307,4106,523,1376,129,5434,37351,December,1985
1914,2452,348,779,57,1606,19969,January,1986
2214,2206,246,1005,65,1523,21701,February,1986
2320,2488,197,1193,67,1577,26249,March,1986
2714,2416,306,1522,71,1605,24493,April,1986
3633,2534,279,1539,76,1765,24603,May,1986
3295,2521,280,1546,67,1403,26485,June,1986
4377,3093,358,2116,110,2584,30723,July,1986
4442,3903,431,2326,118,3318,34569,August,1986
2774,2907,448,1596,99,1562,26689,September,1986
2840,3025,433,1356,85,2349,26157,October,1986
2828,3812,504,1553,107,3987,32064,November,1986
3758,4209,579,1613,141,5891,38870,December,1986
